director,entries,name
,1 140 386 ,Thor : Ragnarok
,1 137 654 ,Arrête-moi si tu peux
,1 132 991 ,Mr. & Mrs. Smith
,1 132 450 ,Le Petit Nicolas
,1 132 279 ,Astérix et Obélix: Au service de sa Majesté
,1 132 221 ,Once Upon a Time in Hollywood
,1 132 062 ,Les Animaux Fantastiques 3 : Les Secrets de Dumbledore
,1 131 141 ,Fast & Furious : Hobbs & Shaw
,1 128 810 ,Django Unchained
,1 127 486 ,Godzilla
,1 125 755 ,"Alien, la résurrection"
,1 124 383 ,Alibi.com
,1 122 957 ,La Légende de Zorro
,1 118 647 ,Cobra
